"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-23",,,"0.40",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-26","    3","2.41",,
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-27",,,"0.07",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-28",,,"0.73",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-29",,,"0.09",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-30",,,"0.33",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2022-01-01",,,"0.06",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2022-01-08",,,"0.05",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-04",,,"0.13",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-05",,,"0.04",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-06",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-07",,,"0.03",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-08",,,"0.24",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-09",,,"0.52",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-10",,,"0.51",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-14",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-18",,,"0.01",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-19",,,"0.18",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-20",,,"0.06",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-25",,,"0.16",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-01-26",,,"0.13",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-02-13",,,"0.00",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-02-20",,,"0.00",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-02-23",,,"0.09",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-02-27",,,"0.35",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-02",,,"1.09",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-03",,,"0.30",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-04",,,"0.17",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-11",,,"0.15",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-13",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-14",,,"0.92",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-15",,,"0.46",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-17",,,"0.52",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-18",,,"0.70",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-21",,,"0.50",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-22",,,"1.54",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-23",,,"1.56",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-03-24",,,"0.01",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-07",,,"0.24",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-08",,,"0.93",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-12",,,"0.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-16",,,"0.06",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-17",,,"0.48",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-04-19",,,"0.03",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-05-26",,,"0.07",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-10-02",,,"0.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-10-04",,,"1.08",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-22",,,"0.43",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-23",,,"0.08",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-24",,,"0.04",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-25",,,"0.14",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-28",,,"0.15",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-29",,,"1.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-11-30",,,"1.34",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-01",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-02",,,"0.09",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-06",,,"0.04",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-07",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-17",,,"0.08",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-18",,,"0.06",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2018-12-25",,,"0.38",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-06",,,"0.41",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-07",,,"0.51",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-10",,,"0.52",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-15",,,"0.05",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-16",,,"0.12",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-17",,,"1.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-18",,,"0.17",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-21",,,"0.44",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-01-22",,,"0.07",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-02",,,"0.42",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-03",,,"1.65",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-04",,,"0.52",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-05",,,"0.77",
