"STATION","NAME","DATE","PRCP","SNWD"
"USS0011J42S","SNOWBIRD, UT US","2018-12-19","0.00","29.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-20","0.00","29.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-21","0.60","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-22","0.00","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-23","0.00","32.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-24","0.20","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-25","0.20","35.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-26","0.30","37.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-27","0.00","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-28","0.30","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-29","0.10","38.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-30","0.30","43.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-31","0.00","43.0"
