STATION,NAME,DATE,PRCP,SNWD,lat,long,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/18/2018,0.1,23,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/19/2018,0,21,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/20/2018,0,19,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/21/2018,0.1,17,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/22/2018,0.2,15,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/23/2018,0,12,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/24/2018,0,8,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/25/2018,0,3,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/26/2018,0,1,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/27/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/28/2018,0.3,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/29/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/30/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/31/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/1/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/2/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/3/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/4/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/5/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/6/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/7/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/8/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/9/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/10/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/11/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/12/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/13/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/14/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/15/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/16/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/17/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/18/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/19/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/20/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/21/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/22/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/23/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/24/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/25/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/26/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/27/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/28/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/29/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",6/30/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/1/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/2/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/3/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/4/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/5/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/6/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/7/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/8/2018,0.5,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/9/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/10/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/11/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/12/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/13/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/14/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/15/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/16/2018,0.3,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/17/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/18/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/19/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/20/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/21/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/22/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/23/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/24/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/25/2018,0,0,40.580755,-111.657296,,,,,
